file,sha256,center_hz,sample_rate,gain_db,iq_pairs,tx_key,te,repeat,analysis_window_pairs,analysis_threshold,analysis_crop_start_window,analysis_crop_end_window,class_count,class_digest,inferred_base,notes
te500-keya5c3d0-rep10-433920000.iq,050c73f65ac3a83302746430e4af45180250bfc6fa342de8c829ecbfa7b63884,433920000,250000,28.0,1250000,A5C3D0,500,10,20,131072,,,499,9f6094750e509ccb6fd90af68d59b170,7,sequence and repeat baseline for the A5C3D0 family
te500-keya5c3d0-rep20-433920000.iq,9617e89d6850e973a7cba52a5e2d2eef444a767d49f4f29ac0893e9a3b8f215c,433920000,250000,28.0,1250000,A5C3D0,500,20,20,131072,,,499,9f6094750e509ccb6fd90af68d59b170,7,repeat-variation metamer within the A5C3D0 family
te500-keya5c3d1-rep10-433920000.iq,a4c4c04c2be81121ece44357c90e53e1d5fd5588aea66fd1f5a0831acc7262c2,433920000,250000,28.0,1250000,A5C3D1,500,10,20,131072,,,499,919b9cefd311b590e1b367697c9619f3,7,sequence probe within the A5C3 flag-payload-counter family
te500-keya5c3d2-rep10-433920000.iq,4da53f6a28ac5b7977c3ff4866bb625e103ccd6758b0e1558bb441bfacd7ee73,433920000,250000,28.0,1250000,A5C3D2,500,10,20,131072,,,499,8171c816e1e3f53f5b22a358ccae6231,7,sequence probe within the A5C3 flag-payload-counter family
te500-keya5c3d3-rep10-433920000.iq,03d0b34ce473020e93c1ee247d52bd300eda8800620930ca8af5204319243001,433920000,250000,28.0,1250000,A5C3D3,500,10,20,131072,,,499,3d3669f8a1610d02fbab3159fb8af87f,7,sequence probe within the A5C3 flag-payload-counter family
te500-keya5c3de-rep10-433920000.iq,6701cd236580fbf12e425e44217ae0dd78f83c84335a3813c54ddb6231447c49,433920000,250000,28.0,1250000,A5C3DE,500,10,20,131072,,,499,abbdf1234f25b8333dd749d9c24be026,7,payload-carry probe within the A5C3 flag-payload-counter family
te500-keya5c3df-rep10-433920000.iq,c4044836cc6a06ac039f7f6f89656a46ca3526be4e997c25052d91ec0f071d92,433920000,250000,28.0,1250000,A5C3DF,500,10,20,131072,,,499,ccda79d4549cbac0c28848f6e20710a4,7,payload-carry probe within the A5C3 flag-payload-counter family
te500-keya5c3e0-rep10-433920000.iq,93bd32ca0eac23d55f9c56c991cbec67da1220e422ed58628d2e5fccf0b9df1c,433920000,250000,28.0,1250000,A5C3E0,500,10,20,131072,,,499,51ba5cd9d8840ce0741dad5810d6fec2,7,payload-carry probe within the A5C3 flag-payload-counter family
te500-keya5c3e1-rep10-433920000.iq,4ac306f3c9640c8ca57009fbad2f67c76be1cec3a3e0a2fede1e37d2acdd8f3d,433920000,250000,28.0,1250000,A5C3E1,500,10,20,131072,,,499,7290dfe41206060453978a21ba452e2c,7,payload-carry probe within the A5C3 flag-payload-counter family
te500-keybeef90-rep1-433920000.iq,3fd5d29f0e860110ceec3340f390ea868aeb7036952892de93e4e2823353aef7,433920000,250000,28.0,1250000,BEEF90,500,1,20,131072,,,499,f85a7588338de63f1506c84cecb0e026,7,repeat-variation metamer within the BEEF90 family
